** AC analysis **

** Net information **
resistor       : [ rs ]
voltage source : [ vcc vin vin2 ]
current source : [ isrc ]
vccs           : [ ]
vcvs           : [ ]
ccvs           : [ ]
cccs           : [ ]
diode          : [ ]
bjt            : [ qamp qsrc1 qsrc2 ]
capacitor      : [ ]
inductor       : [ ]

** Node information **
0  : [ vcc isrc qamp vin ]
supply: [ vcc qsrc1 qsrc2 ]
cbias: [ isrc qsrc1 qsrc1 qsrc2 ]
out: [ qsrc2 qamp ]
b  : [ qamp rs ]
input2: [ rs vin2 ]
input1: [ vin2 vin ]

freq=10000 sol=(-3.06477e-05,9.9595e-08) s=0.306479
freq=10232.9 sol=(-3.06477e-05,1.01915e-07) s=0.306479
freq=10471.3 sol=(-3.06477e-05,1.04289e-07) s=0.306479
freq=10715.2 sol=(-3.06477e-05,1.06718e-07) s=0.306479
freq=10964.8 sol=(-3.06477e-05,1.09204e-07) s=0.306479
freq=11220.2 sol=(-3.06476e-05,1.11747e-07) s=0.306478
freq=11481.5 sol=(-3.06476e-05,1.1435e-07) s=0.306478
freq=11749 sol=(-3.06476e-05,1.17013e-07) s=0.306478
freq=12022.6 sol=(-3.06476e-05,1.19739e-07) s=0.306478
freq=12302.7 sol=(-3.06476e-05,1.22528e-07) s=0.306478
freq=12589.3 sol=(-3.06475e-05,1.25382e-07) s=0.306478
freq=12882.5 sol=(-3.06475e-05,1.28302e-07) s=0.306478
freq=13182.6 sol=(-3.06475e-05,1.31291e-07) s=0.306478
freq=13489.6 sol=(-3.06475e-05,1.34349e-07) s=0.306478
freq=13803.8 sol=(-3.06474e-05,1.37478e-07) s=0.306478
freq=14125.4 sol=(-3.06474e-05,1.4068e-07) s=0.306477
freq=14454.4 sol=(-3.06474e-05,1.43957e-07) s=0.306477
freq=14791.1 sol=(-3.06474e-05,1.4731e-07) s=0.306477
freq=15135.6 sol=(-3.06473e-05,1.50741e-07) s=0.306477
freq=15488.2 sol=(-3.06473e-05,1.54252e-07) s=0.306477
freq=15848.9 sol=(-3.06473e-05,1.57845e-07) s=0.306477
freq=16218.1 sol=(-3.06472e-05,1.61522e-07) s=0.306476
freq=16595.9 sol=(-3.06472e-05,1.65284e-07) s=0.306476
freq=16982.4 sol=(-3.06471e-05,1.69133e-07) s=0.306476
freq=17378 sol=(-3.06471e-05,1.73073e-07) s=0.306476
freq=17782.8 sol=(-3.0647e-05,1.77104e-07) s=0.306476
